🎍;pine decoration
💝;heart with ribbon
🎎;japanese dolls
🎒;school satchel
🎓;graduation cap
🎏;carp streamer
🎆;fireworks
🎇;firework sparkler
🎐;wind chime
🎑;moon viewing ceremony
🎃;jack-o-lantern
👻;ghost
🎅;father christmas
🎄;christmas tree
🎁;wrapped present
🎋;tanabata tree
🎉;party popper
🎊;confetti ball
🎈;balloon
🎌;crossed flags
🔮;crystal ball
🎥;movie camera
📷;camera
📹;video camera
📼;videocassette
💿;optical disc
📀;dvd
💽;minidisc
💾;floppy disk
💻;personal computer
📱;mobile phone
📞;telephone receiver
📟;pager
📠;fax machine
📡;satellite antenna
📺;television
📻;radio
🔊;speaker with three sound waves
🔉;speaker with one sound wave
🔈;speaker
🔇;speaker with cancellation stroke
🔔;bell
🔕;bell with cancellation stroke
📢;public address loudspeaker
📣;cheering megaphone
🔓;open lock
🔒;lock
🔏;lock with ink pen
🔐;closed lock with key
🔑;key
🔎;right-pointing magnifying glass
💡;electric light bulb
🔦;electric torch
🔆;high brightness symbol
🔅;low brightness symbol
🔌;electric plug
🔋;battery
🔍;left-pointing magnifying glass
🛁;bathtub
🛀;bath
🚿;shower
🚽;toilet
🔧;wrench
🔩;nut and bolt
🔨;hammer
🚪;door
🚬;smoking symbol
💣;bomb
🔫;pistol
🔪;hocho
💊;pill
💉;syringe
💰;money bag
💴;banknote with yen sign
💵;banknote with dollar sign
💷;banknote with pound sign
💶;banknote with euro sign
💳;credit card
💸;money with wings
📲;mobile phone with rightwards arrow at left
📧;e-mail symbol
📥;inbox tray
📤;outbox tray
📩;envelope with downwards arrow above
📨;incoming envelope
📯;postal horn
📫;closed mailbox with raised flag
📪;closed mailbox with lowered flag
📬;open mailbox with raised flag
📭;open mailbox with lowered flag
📮;postbox
📦;package
📝;memo
📄;page facing up
📃;page with curl
📑;bookmark tabs
📊;bar chart
📈;chart with upwards trend
📉;chart with downwards trend
📜;scroll
📋;clipboard
📅;calendar
📆;tear-off calendar
📇;card index
📁;file folder
📂;open file folder
📌;pushpin
📎;paperclip
📏;straight ruler
📐;triangular ruler
📕;closed book
📗;green book
📘;blue book
📙;orange book
📓;notebook
📔;notebook with decorative cover
📒;ledger
📚;books
📖;open book
🔖;bookmark
📛;name badge
🔬;microscope
🔭;telescope
📰;newspaper
🎨;artist palette
🎬;clapper board
🎤;microphone
🎧;headphone
🎼;musical score
🎵;musical note
🎶;multiple musical notes
🎹;musical keyboard
🎻;violin
🎺;trumpet
🎷;saxophone
🎸;guitar
👾;alien monster
🎮;video game
🃏;playing card black joker
🎴;flower playing cards
🀄;mahjong tile red dragon
🎲;game die
🎯;direct hit
🏈;american football
🏀;basketball and hoop
🎾;tennis racquet and ball
🎱;billiards
🏉;rugby football
🎳;bowling
🚵;mountain bicyclist
🚴;bicyclist
🏁;chequered flag
🏇;horse racing
🏆;trophy
🎿;ski and ski boot
🏂;snowboarder
🏊;swimmer
🏄;surfer
🎣;fishing pole and fish
🍵;teacup without handle
🍶;sake bottle and cup
🍼;baby bottle
🍺;beer mug
🍻;clinking beer mugs
🍸;cocktail glass
🍹;tropical drink
🍷;wine glass
🍴;fork and knife
🍕;slice of pizza
🍔;hamburger
🍟;french fries
🍗;poultry leg
🍖;meat on bone
🍝;spaghetti
🍛;curry and rice
🍤;fried shrimp
🍱;bento box
🍣;sushi
🍥;fish cake with swirl design
🍙;rice ball
🍘;rice cracker
🍚;cooked rice
🍜;steaming bowl
🍲;pot of food
🍢;oden
🍡;dango
🍳;cooking
🍞;bread
🍩;doughnut
🍮;custard
🍦;soft ice cream
🍨;ice cream
🍧;shaved ice
🎂;birthday cake
🍰;shortcake
🍪;cookie
🍫;chocolate bar
🍬;candy
🍭;lollipop
🍯;honey pot
🍎;red apple
🍏;green apple
🍊;tangerine
🍋;lemon
🍒;cherries
🍇;grapes
🍉;watermelon
🍓;strawberry
🍑;peach
🍈;melon
🍌;banana
🍐;pear
🍍;pineapple
🍠;roasted sweet potato
🍆;aubergine
🍅;tomato
🌽;ear of maize
🏠;house building
🏡;house with garden
🏫;school
🏢;office building
🏣;japanese post office
🏥;hospital
🏦;bank
🏪;convenience store
🏩;love hotel
🏨;hotel
💒;wedding
🏬;department store
🏤;european post office
🌇;sunset over buildings
🌆;cityscape at dusk
🏯;japanese castle
🏰;european castle
🏭;factory
🗼;tokyo tower
🗾;silhouette of japan
🗻;mount fuji
🌄;sunrise over mountains
🌅;sunrise
🌃;night with stars
🗽;statue of liberty
🌉;bridge at night
🎠;carousel horse
🎡;ferris wheel
🎢;roller coaster
🚢;ship
🚤;speedboat
🚣;rowboat
🚀;rocket
💺;seat
🚁;helicopter
🚂;steam locomotive
🚊;tram
🚉;station
🚞;mountain railway
🚆;train
🚄;high-speed train
🚅;high-speed train with bullet nose
🚈;light rail
🚇;metro
🚝;monorail
🚋;tram car
🚃;railway car
🚎;trolleybus
🚌;bus
🚍;oncoming bus
🚙;recreational vehicle
🚘;oncoming automobile
🚗;automobile
🚕;taxi
🚖;oncoming taxi
🚛;articulated lorry
🚚;delivery truck
🚨;police cars revolving light
🚓;police car
🚔;oncoming police car
🚒;fire engine
🚑;ambulance
🚐;minibus
🚲;bicycle
🚡;aerial tramway
🚟;suspension railway
🚠;mountain cableway
🚜;tractor
💈;barber pole
🚏;bus stop
🎫;ticket
🚦;vertical traffic light
🚥;horizontal traffic light
🚧;construction sign
🔰;japanese symbol for beginner
🏮;izakaya lantern
🎰;slot machine
🗿;moyai
🎪;circus tent
🎭;performing arts
📍;round pushpin
🚩;triangular flag on post
